bbcid,system,summary,hallucination_type,hallucinated_span,hallucinated_span_start,hallucinated_span_end,worker_id,start,end
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,"side are "" struggling "" after losing 2-0",41,81,wid_1,bournemouth manager eddie howe says his ,to hull on saturday.
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,manager eddie,13,26,wid_2,bournemouth ,"howe says his side are "" struggling "" after losing 2-0 to hull on saturday."
37895159,BERTS2S,"bournemouth manager eddie howe says his side are "" struggling "" after losing 2-0 to hull on saturday.",extrinsic,"struggling "" after losing 2-0 to hull",52,89,wid_2,"bournemouth manager eddie howe says his side are "" ",on saturday.
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,prime minister tony,13,32,wid_0,australia\'s," abbott has said his country has "" no regrets "" over the controversial immigration policy."
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,no regrets,67,77,wid_0,"australia\'s prime minister tony abbott has said his country has """," "" over the controversial immigration policy."
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,prime minister tony,13,32,wid_1,australia\'s," abbott has said his country has "" no regrets "" over the controversial immigration policy."
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,no regrets,67,77,wid_1,"australia\'s prime minister tony abbott has said his country has """," "" over the controversial immigration policy."
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,prime minister tony,13,32,wid_2,australia\'s," abbott has said his country has "" no regrets "" over the controversial immigration policy."
34148931,BERTS2S,"australia\'s prime minister tony abbott has said his country has "" no regrets "" over the controversial immigration policy.",extrinsic,no regrets,67,77,wid_2,"australia\'s prime minister tony abbott has said his country has """," "" over the controversial immigration policy."
37546354,BERTS2S,the us says it has suspended talks with russia over a cessation of hostilities in syria.,intrinsic,talks,30,35,wid_0,the us says it has suspended ,with russia over a cessation of hostilities in syria.
37546354,BERTS2S,the us says it has suspended talks with russia over a cessation of hostilities in syria.,intrinsic,talks,30,35,wid_1,the us says it has suspended ,with russia over a cessation of hostilities in syria.
37546354,BERTS2S,the us says it has suspended talks with russia over a cessation of hostilities in syria.,intrinsic,talks,30,35,wid_2,the us says it has suspended ,with russia over a cessation of hostilities in syria.
19311364,BERTS2S,"the government should sell off some of the most expensive social housing stock in the uk, the government has said.",,,-1,-1,wid_0,"the government should sell off some of the most expensive social housing stock in the uk, the government has sai",.
19311364,BERTS2S,"the government should sell off some of the most expensive social housing stock in the uk, the government has said.",,,-1,-1,wid_1,"the government should sell off some of the most expensive social housing stock in the uk, the government has sai",.
19311364,BERTS2S,"the government should sell off some of the most expensive social housing stock in the uk, the government has said.",extrinsic,"the government should sell off some of the most expensive social housing stock in the uk, the government has said",1,114,wid_2,,
22299596,BERTS2S,a post-mortem examination has concluded that a man died from measles and measles.,,,-1,-1,wid_0,a post-mortem examination has concluded that a man died from measles and measle,.
22299596,BERTS2S,a post-mortem examination has concluded that a man died from measles and measles.,extrinsic,a post-mortem examination has concluded that a man died from measles and measles,1,81,wid_1,,
22299596,BERTS2S,a post-mortem examination has concluded that a man died from measles and measles.,extrinsic,a post-mortem examination has concluded that a man died from measles and measles,1,81,wid_2,,
34593064,BERTS2S,a man has been charged with the rape of a teenage boy in cumbria.,extrinsic,rape,33,37,wid_0,a man has been charged with the ,of a teenage boy in cumbria.
34593064,BERTS2S,a man has been charged with the rape of a teenage boy in cumbria.,extrinsic,rape,33,37,wid_1,a man has been charged with the ,of a teenage boy in cumbria.
34593064,BERTS2S,a man has been charged with the rape of a teenage boy in cumbria.,extrinsic,rape,33,37,wid_2,a man has been charged with the ,of a teenage boy in cumbria.
39263182,BERTS2S,gateshead remain unbeaten in the national league after being held to a draw by guiseley.,,,-1,-1,wid_0,gateshead remain unbeaten in the national league after being held to a draw by guisele,.
39263182,BERTS2S,gateshead remain unbeaten in the national league after being held to a draw by guiseley.,,,-1,-1,wid_1,gateshead remain unbeaten in the national league after being held to a draw by guisele,.
39263182,BERTS2S,gateshead remain unbeaten in the national league after being held to a draw by guiseley.,,,-1,-1,wid_2,gateshead remain unbeaten in the national league after being held to a draw by guisele,.
25840979,BERTS2S,plans for a new stadium for bristol city have been given the go-ahead by the city council.,,,-1,-1,wid_0,plans for a new stadium for bristol city have been given the go-ahead by the city counci,.
25840979,BERTS2S,plans for a new stadium for bristol city have been given the go-ahead by the city council.,intrinsic,bristol city have been given the go-ahead,29,70,wid_1,plans for a new stadium for ,by the city council.
25840979,BERTS2S,plans for a new stadium for bristol city have been given the go-ahead by the city council.,intrinsic,given the go-ahead by the city council,52,90,wid_2,plans for a new stadium for bristol city have been ,
13599161,BERTS2S,shale gas drilling in lancashire has been suspended after a magnitude-7. 5 earthquake struck.,extrinsic,7. 5,71,75,wid_0,shale gas drilling in lancashire has been suspended after a magnitude-,earthquake struck.
13599161,BERTS2S,shale gas drilling in lancashire has been suspended after a magnitude-7. 5 earthquake struck.,extrinsic,7. 5,71,75,wid_1,shale gas drilling in lancashire has been suspended after a magnitude-,earthquake struck.
13599161,BERTS2S,shale gas drilling in lancashire has been suspended after a magnitude-7. 5 earthquake struck.,extrinsic,7. 5,71,75,wid_2,shale gas drilling in lancashire has been suspended after a magnitude-,earthquake struck.
38333121,BERTS2S,a football busker has been found guilty of defrauding the victims of the hillsborough disaster.,extrinsic,football,3,11,wid_0,a ,busker has been found guilty of defrauding the victims of the hillsborough disaster.
38333121,BERTS2S,a football busker has been found guilty of defrauding the victims of the hillsborough disaster.,extrinsic,football,3,11,wid_1,a ,busker has been found guilty of defrauding the victims of the hillsborough disaster.
38333121,BERTS2S,a football busker has been found guilty of defrauding the victims of the hillsborough disaster.,extrinsic,football,3,11,wid_2,a ,busker has been found guilty of defrauding the victims of the hillsborough disaster.
38034979,BERTS2S,ipswich town ended qpr\'s seven-game winning run in the championship with a comfortable win at carrow road.,intrinsic,winning run in the championship,37,68,wid_0,ipswich town ended qpr\'s seven-game, with a comfortable win at carrow road.
38034979,BERTS2S,ipswich town ended qpr\'s seven-game winning run in the championship with a comfortable win at carrow road.,extrinsic,comfortable win at carrow road,76,106,wid_0,ipswich town ended qpr\'s seven-game winning run in the championship with a,.
38034979,BERTS2S,ipswich town ended qpr\'s seven-game winning run in the championship with a comfortable win at carrow road.,intrinsic,winning run in the championship,37,68,wid_1,ipswich town ended qpr\'s seven-game, with a comfortable win at carrow road.
38034979,BERTS2S,ipswich town ended qpr\'s seven-game winning run in the championship with a comfortable win at carrow road.,extrinsic,comfortable win at carrow road,76,106,wid_1,ipswich town ended qpr\'s seven-game winning run in the championship with a,.
38034979,BERTS2S,ipswich town ended qpr\'s seven-game winning run in the championship with a comfortable win at carrow road.,intrinsic,winning run in the championship,37,68,wid_2,ipswich town ended qpr\'s seven-game, with a comfortable win at carrow road.
38034979,BERTS2S,ipswich town ended qpr\'s seven-game winning run in the championship with a comfortable win at carrow road.,extrinsic,comfortable win at carrow road,76,106,wid_2,ipswich town ended qpr\'s seven-game winning run in the championship with a,.
36329854,BERTS2S,worcestershire all-rounder wells wells has signed a new two-year contract with the club.,extrinsic,worcestershire all-rounder wells wells has signed a new two-year contract with the club,1,88,wid_0,,
36329854,BERTS2S,worcestershire all-rounder wells wells has signed a new two-year contract with the club.,extrinsic,worcestershire all-rounder wells wells has signed a new two-year contract with the club,1,88,wid_1,,
36329854,BERTS2S,worcestershire all-rounder wells wells has signed a new two-year contract with the club.,extrinsic,worcestershire all-rounder wells wells has signed a new two-year contract with the club,1,88,wid_2,,
38595401,BERTS2S,truro city head coach marek churcher has praised his side\'s performance in the first half of their national rugby league campaign.,extrinsic,truro city head coach marek,1,28,wid_0,,churcher has praised his side\'s performance in the first half of their national rugby league campaign.
38595401,BERTS2S,truro city head coach marek churcher has praised his side\'s performance in the first half of their national rugby league campaign.,extrinsic,first half of their national rugby league campaign,80,130,wid_0,truro city head coach marek churcher has praised his side\'s performance in the,.
38595401,BERTS2S,truro city head coach marek churcher has praised his side\'s performance in the first half of their national rugby league campaign.,extrinsic,truro city head coach marek,1,28,wid_1,,churcher has praised his side\'s performance in the first half of their national rugby league campaign.
38595401,BERTS2S,truro city head coach marek churcher has praised his side\'s performance in the first half of their national rugby league campaign.,extrinsic,first half of their national rugby league campaign,80,130,wid_1,truro city head coach marek churcher has praised his side\'s performance in the,.
38595401,BERTS2S,truro city head coach marek churcher has praised his side\'s performance in the first half of their national rugby league campaign.,extrinsic,truro city head coach marek,1,28,wid_2,,churcher has praised his side\'s performance in the first half of their national rugby league campaign.
38595401,BERTS2S,truro city head coach marek churcher has praised his side\'s performance in the first half of their national rugby league campaign.,extrinsic,first half of their national rugby league campaign,80,130,wid_2,truro city head coach marek churcher has praised his side\'s performance in the,.
33183140,BERTS2S,indian police have arrested a man in connection with the rape of a nun in the eastern city of kolkata ( calcutta ) in march.,extrinsic,eastern city,79,91,wid_0,indian police have arrested a man in connection with the rape of a nun in the ,of kolkata ( calcutta ) in march.
33183140,BERTS2S,indian police have arrested a man in connection with the rape of a nun in the eastern city of kolkata ( calcutta ) in march.,extrinsic,eastern city,79,91,wid_1,indian police have arrested a man in connection with the rape of a nun in the ,of kolkata ( calcutta ) in march.
33183140,BERTS2S,indian police have arrested a man in connection with the rape of a nun in the eastern city of kolkata ( calcutta ) in march.,extrinsic,eastern city,79,91,wid_2,indian police have arrested a man in connection with the rape of a nun in the ,of kolkata ( calcutta ) in march.
33183140,BERTS2S,indian police have arrested a man in connection with the rape of a nun in the eastern city of kolkata ( calcutta ) in march.,extrinsic,in march,116,124,wid_2,indian police have arrested a man in connection with the rape of a nun in the eastern city of kolkata ( calcutta ) ,
32539063,BERTS2S,the bbc has released a series of information about the uk\'s food market and how they have changed since the start of the decade.,intrinsic,bbc,5,8,wid_0,the ,has released a series of information about the uk\'s food market and how they have changed since the start of the decade.
32539063,BERTS2S,the bbc has released a series of information about the uk\'s food market and how they have changed since the start of the decade.,extrinsic,start of the decade,109,128,wid_0,the bbc has released a series of information about the uk\'s food market and how they have changed since the,.
32539063,BERTS2S,the bbc has released a series of information about the uk\'s food market and how they have changed since the start of the decade.,intrinsic,bbc,5,8,wid_1,the ,has released a series of information about the uk\'s food market and how they have changed since the start of the decade.
32539063,BERTS2S,the bbc has released a series of information about the uk\'s food market and how they have changed since the start of the decade.,extrinsic,start of the decade,109,128,wid_1,the bbc has released a series of information about the uk\'s food market and how they have changed since the,.
32539063,BERTS2S,the bbc has released a series of information about the uk\'s food market and how they have changed since the start of the decade.,intrinsic,bbc,5,8,wid_2,the ,has released a series of information about the uk\'s food market and how they have changed since the start of the decade.
32539063,BERTS2S,the bbc has released a series of information about the uk\'s food market and how they have changed since the start of the decade.,extrinsic,start of the decade,109,128,wid_2,the bbc has released a series of information about the uk\'s food market and how they have changed since the,.
37471830,BERTS2S,two people in south west scotland have been targeted by telephone scams.,extrinsic,two people in south west scotland have been targeted by telephone scams,1,72,wid_0,,
37471830,BERTS2S,two people in south west scotland have been targeted by telephone scams.,extrinsic,two people in south west scotland have been targeted by telephone scams,1,72,wid_1,,
37471830,BERTS2S,two people in south west scotland have been targeted by telephone scams.,extrinsic,south west scotland,15,34,wid_2,two people in ,have been targeted by telephone scams.
40642906,BERTS2S,castleford tigers have appointed former scotland international kevin duffy as their new head coach.,extrinsic,castleford tigers have appointed former scotland international kevin duffy as their new head coach,1,99,wid_0,,
40642906,BERTS2S,castleford tigers have appointed former scotland international kevin duffy as their new head coach.,extrinsic,castleford tigers have appointed former scotland international kevin duffy as their new head coach,1,99,wid_1,,
40642906,BERTS2S,castleford tigers have appointed former scotland international kevin duffy as their new head coach.,extrinsic,castleford tigers have appointed former,1,40,wid_2,,scotland international kevin duffy as their new head coach.
38630833,BERTS2S,a motorcyclist has been airlifted to hospital after falling on a beach in rhondda cynon taff.,extrinsic,motorcyclist,3,15,wid_0,a ,has been airlifted to hospital after falling on a beach in rhondda cynon taff.
38630833,BERTS2S,a motorcyclist has been airlifted to hospital after falling on a beach in rhondda cynon taff.,intrinsic,rhondda cynon taff,75,93,wid_0,a motorcyclist has been airlifted to hospital after falling on a beach in ,
38630833,BERTS2S,a motorcyclist has been airlifted to hospital after falling on a beach in rhondda cynon taff.,extrinsic,motorcyclist,3,15,wid_1,a ,has been airlifted to hospital after falling on a beach in rhondda cynon taff.
38630833,BERTS2S,a motorcyclist has been airlifted to hospital after falling on a beach in rhondda cynon taff.,intrinsic,in rhondda cynon taff,72,93,wid_1,a motorcyclist has been airlifted to hospital after falling on a beach ,
38630833,BERTS2S,a motorcyclist has been airlifted to hospital after falling on a beach in rhondda cynon taff.,extrinsic,motorcyclist,3,15,wid_2,a ,has been airlifted to hospital after falling on a beach in rhondda cynon taff.
38630833,BERTS2S,a motorcyclist has been airlifted to hospital after falling on a beach in rhondda cynon taff.,extrinsic,after falling on a beach in rhondda cynon taff,47,93,wid_2,a motorcyclist has been airlifted to hospital ,
34793274,BERTS2S,the world\'s first satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead.,extrinsic,the world\'s first satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead,1,125,wid_0,,.
34793274,BERTS2S,the world\'s first satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead.,extrinsic,world\'s first,5,18,wid_1,the , satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead.
34793274,BERTS2S,the world\'s first satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead.,extrinsic,first,13,18,wid_2,the world\'s, satellite to track flight data from the missing malaysia airlines flight mh370 has been given the go-ahead.
34737471,BERTS2S,"the father of a three-year-old boy who went missing in the us has been arrested over his disappearance, according to the fbi.",intrinsic,father,5,11,wid_0,the ,"of a three-year-old boy who went missing in the us has been arrested over his disappearance, according to the fbi."
34737471,BERTS2S,"the father of a three-year-old boy who went missing in the us has been arrested over his disappearance, according to the fbi.",extrinsic,three-year-old,17,31,wid_0,the father of a ,"boy who went missing in the us has been arrested over his disappearance, according to the fbi."
34737471,BERTS2S,"the father of a three-year-old boy who went missing in the us has been arrested over his disappearance, according to the fbi.",extrinsic,us,60,62,wid_0,the father of a three-year-old boy who went missing in the ,"has been arrested over his disappearance, according to the fbi."
34737471,BERTS2S,"the father of a three-year-old boy who went missing in the us has been arrested over his disappearance, according to the fbi.",extrinsic,three-year-old,17,31,wid_1,the father of a ,"boy who went missing in the us has been arrested over his disappearance, according to the fbi."
34737471,BERTS2S,"the father of a three-year-old boy who went missing in the us has been arrested over his disappearance, according to the fbi.",extrinsic,us,60,62,wid_1,the father of a three-year-old boy who went missing in the ,"has been arrested over his disappearance, according to the fbi."
34737471,BERTS2S,"the father of a three-year-old boy who went missing in the us has been arrested over his disappearance, according to the fbi.",extrinsic,three-year-old,17,31,wid_2,the father of a ,"boy who went missing in the us has been arrested over his disappearance, according to the fbi."
34737471,BERTS2S,"the father of a three-year-old boy who went missing in the us has been arrested over his disappearance, according to the fbi.",extrinsic,us,60,62,wid_2,the father of a three-year-old boy who went missing in the ,"has been arrested over his disappearance, according to the fbi."
28328378,BERTS2S,the owners of a recycling plant destroyed by fire in greater manchester have been stripped of their environmental permit.,extrinsic,the owners of a recycling plant destroyed by fire in greater manchester have been stripped of their environmental permit,1,121,wid_0,,
28328378,BERTS2S,the owners of a recycling plant destroyed by fire in greater manchester have been stripped of their environmental permit.,extrinsic,the owners of a recycling plant destroyed by fire in greater manchester have been stripped of their environmental permit,1,121,wid_1,,
28328378,BERTS2S,the owners of a recycling plant destroyed by fire in greater manchester have been stripped of their environmental permit.,extrinsic,the owners of a recycling plant destroyed by fire in greater manchester have been stripped of their environmental permit,1,121,wid_2,,
26381454,BERTS2S,russia\'s lower house of parliament has approved a bill that would allow russia to issue new passports to its citizens.,,,-1,-1,wid_0,russia\'s lower house of parliament has approved a bill that would allow russia to issue new passports to its citizen,.
26381454,BERTS2S,russia\'s lower house of parliament has approved a bill that would allow russia to issue new passports to its citizens.,extrinsic,parliament,25,35,wid_1,russia\'s lower house of, has approved a bill that would allow russia to issue new passports to its citizens.
26381454,BERTS2S,russia\'s lower house of parliament has approved a bill that would allow russia to issue new passports to its citizens.,extrinsic,parliament,25,35,wid_2,russia\'s lower house of, has approved a bill that would allow russia to issue new passports to its citizens.
36404868,BERTS2S,mclaren have a lot to do with them this year.,intrinsic,this,36,40,wid_0,mclaren have a lot to do with them ,year.
36404868,BERTS2S,mclaren have a lot to do with them this year.,intrinsic,this,36,40,wid_1,mclaren have a lot to do with them ,year.
36404868,BERTS2S,mclaren have a lot to do with them this year.,intrinsic,this,36,40,wid_2,mclaren have a lot to do with them ,year.
39860898,BERTS2S,three men have been arrested on suspicion of murdering a man who was shot dead outside a meat market.,,,-1,-1,wid_0,three men have been arrested on suspicion of murdering a man who was shot dead outside a meat marke,.
39860898,BERTS2S,three men have been arrested on suspicion of murdering a man who was shot dead outside a meat market.,intrinsic,shot dead,70,79,wid_0,three men have been arrested on suspicion of murdering a man who was ,outside a meat market.
39860898,BERTS2S,three men have been arrested on suspicion of murdering a man who was shot dead outside a meat market.,intrinsic,shot dead,70,79,wid_1,three men have been arrested on suspicion of murdering a man who was ,outside a meat market.
39860898,BERTS2S,three men have been arrested on suspicion of murdering a man who was shot dead outside a meat market.,intrinsic,shot dead outside,70,87,wid_2,three men have been arrested on suspicion of murdering a man who was ,a meat market.
35074007,BERTS2S,it\'s one of the most common stories of the festive season.,extrinsic,it\'s one of the most common stories of the festive season,1,58,wid_0,,.
35074007,BERTS2S,it\'s one of the most common stories of the festive season.,extrinsic,it\'s one of the most common stories of the festive season,1,58,wid_1,,.
35074007,BERTS2S,it\'s one of the most common stories of the festive season.,extrinsic,it\'s one of the most common stories of the festive season,1,58,wid_2,,.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,extrinsic,public,3,9,wid_0,a ,inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,intrinsic,wales,51,56,wid_0,a public inquiry into plans to build a circuit of ,racing track in blaenau gwent has opened.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,extrinsic,racing track,57,69,wid_0,a public inquiry into plans to build a circuit of wales ,in blaenau gwent has opened.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,intrinsic,blaenau gwent has opened,73,97,wid_0,a public inquiry into plans to build a circuit of wales racing track in ,
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,extrinsic,public,3,9,wid_1,a ,inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,extrinsic,racing track,57,69,wid_1,a public inquiry into plans to build a circuit of wales ,in blaenau gwent has opened.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,intrinsic,opened,91,97,wid_1,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has ,
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,extrinsic,public,3,9,wid_2,a ,inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,intrinsic,wales,51,56,wid_2,a public inquiry into plans to build a circuit of ,racing track in blaenau gwent has opened.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,extrinsic,racing track,57,69,wid_2,a public inquiry into plans to build a circuit of wales ,in blaenau gwent has opened.
31821135,BERTS2S,a public inquiry into plans to build a circuit of wales racing track in blaenau gwent has opened.,extrinsic,blaenau gwent has opened,73,97,wid_2,a public inquiry into plans to build a circuit of wales racing track in ,
39600124,BERTS2S,a newspaper in the russian republic of chechnya has passed a resolution to condemn the publication of a report by chechnya\'s state news agency,intrinsic,a newspaper in the russian republic of chechnya,1,48,wid_0,,has passed a resolution to condemn the publication of a report by chechnya\'s state news agency
39600124,BERTS2S,a newspaper in the russian republic of chechnya has passed a resolution to condemn the publication of a report by chechnya\'s state news agency,intrinsic,russian republic,20,36,wid_1,a newspaper in the ,of chechnya has passed a resolution to condemn the publication of a report by chechnya\'s state news agency
39600124,BERTS2S,a newspaper in the russian republic of chechnya has passed a resolution to condemn the publication of a report by chechnya\'s state news agency,extrinsic,chechnya\'s state news agency,115,143,wid_1,a newspaper in the russian republic of chechnya has passed a resolution to condemn the publication of a report by ,
39600124,BERTS2S,a newspaper in the russian republic of chechnya has passed a resolution to condemn the publication of a report by chechnya\'s state news agency,intrinsic,russian republic,20,36,wid_2,a newspaper in the ,of chechnya has passed a resolution to condemn the publication of a report by chechnya\'s state news agency
39600124,BERTS2S,a newspaper in the russian republic of chechnya has passed a resolution to condemn the publication of a report by chechnya\'s state news agency,extrinsic,chechnya\'s state news agency,115,143,wid_2,a newspaper in the russian republic of chechnya has passed a resolution to condemn the publication of a report by ,
34743526,BERTS2S,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the bbc reveal.",extrinsic,more than £1m,72,85,wid_0,a private agency set up by a private agent to rent homes has been paid ,"in rent, documents obtained by the bbc reveal."
34743526,BERTS2S,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the bbc reveal.",extrinsic,bbc reveal,121,131,wid_0,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the ",
34743526,BERTS2S,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the bbc reveal.",extrinsic,more than £1m,72,85,wid_1,a private agency set up by a private agent to rent homes has been paid ,"in rent, documents obtained by the bbc reveal."
34743526,BERTS2S,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the bbc reveal.",extrinsic,bbc reveal,121,131,wid_1,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the ",
34743526,BERTS2S,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the bbc reveal.",extrinsic,more than £1m,72,85,wid_2,a private agency set up by a private agent to rent homes has been paid ,"in rent, documents obtained by the bbc reveal."
34743526,BERTS2S,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the bbc reveal.",extrinsic,bbc reveal,121,131,wid_2,"a private agency set up by a private agent to rent homes has been paid more than £1m in rent, documents obtained by the ",
37207414,BERTS2S,great britain\'s men lost their opening eurobasket finals warm-up warm-up match against the netherlands in amsterdam.,extrinsic,great britain\'s,1,16,wid_0,, men lost their opening eurobasket finals warm-up warm-up match against the netherlands in amsterdam.
37207414,BERTS2S,great britain\'s men lost their opening eurobasket finals warm-up warm-up match against the netherlands in amsterdam.,extrinsic,opening,32,39,wid_0,great britain\'s men lost their, eurobasket finals warm-up warm-up match against the netherlands in amsterdam.
37207414,BERTS2S,great britain\'s men lost their opening eurobasket finals warm-up warm-up match against the netherlands in amsterdam.,extrinsic,finals,51,57,wid_0,great britain\'s men lost their opening eurobasket, warm-up warm-up match against the netherlands in amsterdam.
37207414,BERTS2S,great britain\'s men lost their opening eurobasket finals warm-up warm-up match against the netherlands in amsterdam.,extrinsic,amsterdam,107,116,wid_0,great britain\'s men lost their opening eurobasket finals warm-up warm-up match against the netherlands in,.
37207414,BERTS2S,great britain\'s men lost their opening eurobasket finals warm-up warm-up match against the netherlands in amsterdam.,extrinsic,amsterdam,107,116,wid_1,great britain\'s men lost their opening eurobasket finals warm-up warm-up match against the netherlands in,.
